Title,director,mpa_rating,length,genre,release_date,imdb_rating,vote_count,synopsis
Mary and Max,Adam Elliot,Not Rated,1h 32min,Animation,9 April 2009 (Australia),8.1,"157,151","A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
Ford v Ferrari,James Mangold,PG-13,2h 32min,Action,15 November 2019 (USA),8.1,"184,417",American car designer
Klaus,Sergio Pablos,PG,1h 36min,Animation,15 November 2019 (USA),8.2,"63,009","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
Hacksaw Ridge,Mel Gibson,R,2h 19min,Biography,4 November 2016 (USA),8.1,"399,733",World War II American Army Medic
The Grand Budapest Hotel,Wes Anderson,R,1h 39min,Adventure,28 March 2014 (USA),8.1,"667,343","A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
The Big Lebowski,Joel Coen,R,1h 57min,Comedy,6 March 1998 (USA),8.1,"693,593","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
Andhadhun,Sriram Raghavan,Not Rated,2h 19min,Crime,5 October 2018 (USA),8.3,"57,682","A series of mysterious events changes the life of a blind pianist, who must now report a crime that he should technically know nothing of."
Wild Tales,Damián Szifron,R,2h 2min,Comedy,21 August 2014 (Argentina),8.1,"162,429",Six short stories that explore the extremities of human behavior involving people in distress.
The Bandit,Yavuz Turgul,TV-MA,2h 8min,Crime,29 November 1996 (Turkey),8.3,"59,243","Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover."
The Deer Hunter,Michael Cimino,R,3h 3min,Drama,23 February 1979 (USA),8.1,"296,668",An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.
Tokyo Story,Yasujirô Ozu,Not Rated,2h 16min,Drama,13 March 1972 (USA),8.2,"47,495","An old couple visit their children and grandchildren in the city, but receive little attention."
The Truman Show,Peter Weir,PG,1h 43min,Comedy,5 June 1998 (USA),8.1,"881,459",An insurance salesman discovers his whole life is actually a reality TV show.
Stalker,Andrei Tarkovsky,Not Rated,2h 42min,Drama,17 April 1980 (Netherlands),8.2,"106,075",A guide leads two men through an area known as the Zone to find a room that grants wishes.
Fargo,Joel Coen,R,1h 38min,Crime,5 April 1996 (USA),8.1,"586,330",Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
Gran Torino,Clint Eastwood,R,1h 56min,Drama,9 January 2009 (USA),8.1,"693,591","Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino."
Memories of Murder,Bong Joon Ho,Not Rated,2h 12min,Action,2 May 2003 (South Korea),8.1,"117,899","In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
The Third Man,Carol Reed,Not Rated,1h 33min,Film-Noir,12 October 1949 (France),8.1,"151,395","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
On the Waterfront,Elia Kazan,Not Rated,1h 48min,Crime,22 June 1954 (Japan),8.1,"134,488",An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.
Finding Nemo,Andrew Stanton,G,1h 40min,Animation,30 May 2003 (USA),8.1,"907,881","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
Kill Bill: Vol. 1,Quentin Tarantino,R,1h 51min,Action,10 October 2003 (USA),8.1,"953,295","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
Wild Strawberries,Ingmar Bergman,Not Rated,1h 31min,Drama,22 June 1959 (USA),8.2,"89,099","After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
The Bridge on the River Kwai,David Lean,PG,2h 41min,Adventure,14 December 1957 (USA),8.1,"193,782","British POWs build a railway bridge across the river Kwai for their Japanese captors, oblivious of the Allies' plans to destroy it."
Blade Runner,Ridley Scott,R,1h 57min,Action,25 June 1982 (USA),8.1,"660,600","A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator."
Room,Lenny Abrahamson,R,1h 58min,Drama,22 January 2016 (USA),8.1,"341,640","Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."
Gone with the Wind,Victor Fleming,Passed,3h 58min,Drama,17 January 1940 (USA),8.1,"275,280",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.
The Sixth Sense,M. Night Shyamalan,PG-13,1h 47min,Drama,6 August 1999 (USA),8.1,"876,151",A boy who communicates with spirits seeks the help of a disheartened child psychologist.
The Elephant Man,David Lynch,PG,2h 4min,Biography,10 October 1980 (USA),8.1,"208,522","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
Jurassic Park,Steven Spielberg,PG-13,2h 7min,Action,11 June 1993 (USA),8.1,"820,178",A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
The Thing,John Carpenter,R,1h 49min,Horror,25 June 1982 (USA),8.1,"349,896",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
Trainspotting,Danny Boyle,R,1h 33min,Drama,9 August 1996 (USA),8.1,"611,551","Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
Shutter Island,Martin Scorsese,R,2h 18min,Mystery,19 February 2010 (USA),8.1,"1,062,189","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
The Seventh Seal,Ingmar Bergman,Not Rated,1h 36min,Drama,13 October 1958 (USA),8.2,"152,623","A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
Warrior,Gavin O'Connor,PG-13,2h 20min,Drama,9 September 2011 (USA),8.2,"418,180","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
Dial M for Murder,Alfred Hitchcock,PG,1h 45min,Crime,29 May 1954 (USA),8.2,"147,819",A tennis player frames his neglected wife for murder after she inadvertently foils his plan to have her murdered.
Inside Out,Pete Docter,PG,1h 35min,Animation,19 June 2015 (USA),8.2,"572,893","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
V for Vendetta,James McTeigue,R,2h 12min,Action,17 March 2006 (USA),8.2,"987,157","In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman."
No Country for Old Men,Ethan Coen,R,2h 2min,Crime,21 November 2007 (USA),8.1,"805,619",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
Chinatown,Roman Polanski,R,2h 10min,Drama,20 June 1974 (USA),8.2,"278,477","A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder."
My Father and My Son,Çagan Irmak,,1h 48min,Drama,18 November 2005 (Turkey),8.3,"73,034",The family of a left-wing journalist is torn apart after a military coup in 1980's Turkey.
The Gold Rush,Charles Chaplin,Not Rated,1h 35min,Adventure,27 September 1925 (Canada),8.2,"94,039",A prospector goes to the Klondike in search of gold and finds it and more.
There Will Be Blood,Paul Thomas Anderson,R,2h 38min,Drama,25 January 2008 (USA),8.2,"487,224","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
The Treasure of the Sierra Madre,John Huston,Passed,2h 6min,Adventure,24 January 1948 (USA),8.2,"108,247",Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
Judgment at Nuremberg,Stanley Kramer,Not Rated,2h 59min,Drama,18 December 1961 (Sweden),8.2,"65,127","In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,R,1h 55min,Comedy,1 December 2017 (USA),8.2,"389,168",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
The Wolf of Wall Street,Martin Scorsese,R,3h,Biography,25 December 2013 (USA),8.2,"1,100,245",Based on the true story of
Raging Bull,Martin Scorsese,R,2h 9min,Biography,19 December 1980 (USA),8.2,"304,934",The life of boxer
"Lock, Stock and Two Smoking Barrels",Guy Ritchie,R,1h 47min,Comedy,28 August 1998 (UK),8.2,"512,524","A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns."
